Tenor,ActualYield,NS_Fitted,SV_Fitted,BootstrappedZero,CSV_ZeroRate
0.25,0.068725,0.06961376026305491,0.06992658605283432,0.068725,0.069713
0.5,0.070997,0.0697402625049608,0.06983324411572997,0.070997,0.071454
1.0,0.070232,0.0700806002726331,0.06987573083132753,0.07021856820467692,0.069457
2.0,0.07044,0.0709624003673327,0.0705489707981489,0.07044462828096276,0.070796
3.0,0.071349,0.07193002277720788,0.07158970594622009,0.07143507055708506,0.071584
5.0,0.074344,0.07371401227355183,0.0737692374451035,0.07494367358835179,0.073997
7.0,0.074371,0.07510830502891501,0.07550289238125645,0.0746580159324124,0.074424
10.0,0.077303,0.07654246591164851,0.0771345139783753,0.07892085653474809,0.076694
15.0,0.078297,0.077873725215131,0.07824998060796594,0.07976214095826667,0.078651
20.0,0.079555,0.07857765968244515,0.07852548257528327,0.08224836120450194,0.079344
30.0,0.077819,0.07928766360675683,0.07848799898983178,0.07390254997238135,0.077842
